type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
生鲜果蔬,6500,30,113.362213,40.097111,116.425052,39.934032,2019050612,2019052616,2300
机器零件,10000,50,112.85052,35.493965,116.425052,39.934032,2019050908,2019052515,2600
特殊货物,5000,35,108.322574,22.833533,113.263955,23.154211,2019051109,2019052512,1500
日用百货,5000,50,112.85052,35.493965,117.208789,39.095388,2019051109,2019052314,1500
砂石散货,10000,50,113.104074,36.215097,116.425052,39.934032,2019050710,2019051012,2900
五金机械,8000,40,106.535893,29.590094,104.060293,30.593689,2019050812,2019052516,2000
特殊货物,7000,40,109.395618,24.315365,113.263955,23.154211,2019051209,2019052315,1500
特殊货物,7000,40,113.25872,23.139562,104.060293,30.593689,2019051209,2019051815,6000
生鲜果蔬,6500,30,106.535893,29.590094,104.060293,30.593689,2019050812,2019052616,2300
日用百货,5000,30,106.535893,29.590094,104.060293,30.593689,2019050708,2019052215,2000
砂石散货,5500,50,113.104074,36.215097,116.425052,39.934032,2019050709,2019051915,1500
生鲜果蔬,6500,30,113.25872,23.139562,114.051164,22.609383,2019051309,2019052014,2045
砂石散货,10000,50,113.263955,23.154211,110.28662,25.267723,2019050708,2019051915,2300
砂石散货,5800,50,111.019703,35.033296,103.839542,36.071046,2019050709,2019051915,6000
机器零件,10000,50,113.104074,36.215097,112.544412,37.881898,2019050612,2019052616,1000
日用百货,6000,45,112.85052,35.493965,117.208789,39.095388,2019051109,2019051815,1500
日用百货,5000,30,108.322574,22.833533,113.263955,23.154211,2019051212,2019052516,1500
